nID;nID_FlowPropertyClass;sData;nID_Flow_ServiceData;bExclude;sName;sRegionTime;saRegionWeekDay;sDateTimeAt;sDateTimeTo;nLen;sLenType
1;1;{"0 0/15 8-15 ? * MON-FRI *":"PT15M"};1;false;"Прийом в робочі дні";"08:00-15:00";"mo,tu,we,th,fr";"2015-08-31 08:00:00";"2015-09-30 15:00:00";15;Min
2;1;{"0 0/30 9-12 ? * TUE-FRI":"PT30M"};2;false;"Ранковий прийом";"09:00-12:00";"tu,we,th,fr";"2015-08-31 09:00:00";"2015-09-30 12:00:00";15;Min
3;1;{"0 45/30 13 ? * TUE-FRI":"PT30M"};2;false;"Перерва";"13:00-14:00";"tu,we,th,fr";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
4;1;{"0 15,45/30 14-16 ? * TUE-FRI":"PT30M"};2;false;"Денний прийом";"14:00-16:00";"tu,we,th,fr";"2015-08-31 14:00:00";"2015-09-30 16:00:00";15;Min
5;1;{"0 0/30 9-12 ? * SAT":"PT30M"};2;false;"Ранковий прийом";"09:00-12:00";"sa";"2015-08-31 09:00:00";"2015-09-30 12:00:00";15;Min
6;1;{"0 45 13 ? * SAT":"PT30M"};2;false;"Перерва";"13:00-14:00";"sa";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
7;1;{"0 15/30 14 ? * SAT":"PT30M"};2;false;"Денний прийом";"14:00-16:00";"sa";"2015-08-31 14:00:00";"2015-09-30 15:00:00";15;Min
8;1;{"0 15 15 ? * SAT":"PT30M"};2;false;"Вечірній прийом";"15:00-16:00";"sa";"2015-08-31 15:00:00";"2015-09-30 16:00:00";15;Min
9;1;{"0 0/60 9-12,14-17 ? * TUE-FRI":"PT1H"};3;false;"Прийом в робочі дні";"14:00-17:00";"mo,tu,we,th,fr";"2015-08-31 15:00:00";"2015-09-30 16:00:00";15;Min
10;1;{"0 0/60 9-13 ? * SAT":"PT1H"};3;false;"Ранковий прийом";"09:00-13:00";"sa";"2015-08-31 09:00:00";"2015-09-30 13:00:00";15;Min

11;1;{"0 30,45/15 9 ? * MON,TUE,THU,FRI":"PT15M"};4;false;"Ранковий прийом";"09:00-10:00";"mo,tu,th,fr";"2015-08-31 09:00:00";"2015-09-30 10:00:00";15;Min
12;1;{"0 0,15,30,45/15 10 ? * MON,TUE,THU,FRI":"PT15M"};4;false;"Ранковий прийом";"10:00-11:00";"mo,tu,th,fr";"2015-08-31 10:00:00";"2015-09-30 11:00:00";15;Min
13;1;{"0 0/15 14-15 ? * MON,TUE,THU,FRI":"PT15M"};4;false;"Перерва";"14:00-15:00";"mo,tu,th,fr";"2015-08-31 14:00:00";"2015-09-30 15:00:00";15;Min
14;1;{"0 15,30,45/15 15 ? * MON,TUE,THU,FRI":"PT15M"};4;false;"Вечірній прийом";"15:00-16:00";"mo,tu,th,fr";"2015-08-31 15:00:00";"2015-09-30 16:00:00";15;Min

20;1;{"0 0/30 10-11 ? * MON":"PT30M"};5;false;"Ранковий прийом";"09:00-12:00";"mo,tu,we,th,fr";"2015-08-31 09:00:00";"2015-09-30 12:00:00";15;Min
21;1;{"0 0 12 ? * MON":"PT30M"};5;false;"Ранковий прийом";"09:00-12:00";"mo,tu,we,th,fr";"2015-08-31 09:00:00";"2015-09-30 12:00:00";15;Min
22;1;{"0 0/30 9-12 ? * TUE-FRI":"PT30M"};5;false;"Ранковий прийом";"09:00-12:00";"tu,we,th,fr";"2015-08-31 09:00:00";"2015-09-30 12:00:00";15;Min
23;1;{"0 45/30 13 ? * TUE-FRI":"PT30M"};5;false;"Перерва";"13:00-14:00";"tu,we,th,fr";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
24;1;{"0 15,45/30 14-16 ? * TUE-FRI":"PT30M"};5;false;"Денний прийом";"14:00-16:00";"tu,we,th,fr";"2015-08-31 14:00:00";"2015-09-30 16:00:00";15;Min
25;1;{"0 0/30 9-14 ? * SAT":"PT30M"};5;false;"Ранковий прийом";"09:00-12:00";"sa";"2015-08-31 09:00:00";"2015-09-30 12:00:00";15;Min
26;1;{"0 0 15 ? * SAT":"PT30M"};5;false;"Перерва";"13:00-14:00";"sa";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
27;1;{"0 0 0 ? * SAT":"PT30M"};1;true;"null";"00:00-00:00";"sa";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
28;1;{"0 0 0 ? * SAT":"PT30M"};1;true;"null";"00:00-00:00";"sa";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
29;1;{"0 0 0 ? * SAT":"PT30M"};1;true;"null";"00:00-00:00";"sa";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min

30;1;{"0 0/30 9-12 ? * TUE-FRI":"PT30M"};6;false;"Ранковий прийом";"09:00-12:00";"tu,we,th,fr";"2015-08-31 09:00:00";"2015-09-30 12:00:00";15;Min
31;1;{"0 45/30 13 ? * TUE-FRI":"PT30M"};6;false;"Перерва";"13:00-14:00";"tu,we,th,fr";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
32;1;{"0 15,45/30 14-16 ? * TUE-FRI":"PT30M"};6;false;"Денний прийом";"14:00-16:00";"tu,we,th,fr";"2015-08-31 14:00:00";"2015-09-30 16:00:00";15;Min
33;1;{"0 0/30 9-14 ? * SAT":"PT30M"};6;false;"Ранковий прийом";"09:00-12:00";"sa";"2015-08-31 09:00:00";"2015-09-30 12:00:00";15;Min
34;1;{"0 0 15 ? * SAT":"PT30M"};6;false;"Перерва";"13:00-14:00";"sa";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
35;1;{"0 0 0 ? * SAT":"PT30M"};1;true;"null";"00:00-00:00";"sa";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
36;1;{"0 0 0 ? * SAT":"PT30M"};1;true;"null";"00:00-00:00";"sa";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
37;1;{"0 0 0 ? * SAT":"PT30M"};1;true;"null";"00:00-00:00";"sa";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
38;1;{"0 0 0 ? * SAT":"PT30M"};1;true;"null";"00:00-00:00";"sa";"2015-08-31 13:00:00";"2015-09-30 14:00:00";15;Min
